1,2,3,4,5,6,7,8,9,10
3.3525267282514766,4.0888944059015015,5.817738485538559,5.730820371645373,4.26047632448958,4.939249574383662,5.010544934960511,5.20934785999299,4.557185135252186,6.463369107543892
73.29265276158621,82.74063255905664,74.56681453128776,73.54746164512001,71.49704839828236,67.64957146327507,76.94424848259322,75.47350836255892,78.7931872309907,72.46406255974269
3.2166131263413066e-07,2.3517015125279367e-07,3.764399023069011e-07,2.4039966729966524e-07,3.5217609235646347e-07,3.708449810870836e-07,3.269892964981391e-07,2.6457324125384243e-07,3.496669844782281e-07,3.4136051323900293e-07
257.97561540128663,330.3709952486679,304.9594452972524,284.54986757878214,291.8597060460597,270.20746613899246,277.73508382216096,304.7483015903272,341.2407317357138,271.9961614338681
1.3389320758210851e-06,1.177560667200312e-06,1.0987647773564783e-06,1.3811306724234907e-06,7.60083396018981e-07,1.1384015106640892e-06,1.068566192609606e-06,1.1604291398341454e-06,9.193219554252383e-07,9.16876881606307e-07
optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
