1,2,3,4,5,6,,,
6.547574413,5.584618072,5.013659298,6.318024486,7.801457809,5.208370237,,,
119.4888143,126.688365,132.1783673,115.4646206,130.7738861,119.9445076,,,
9.79E-07,1.09E-06,9.52E-07,1.37E-06,9.53E-07,1.17E-06,,,
32410.94059,31235.75187,30220.59455,7205.631131,39505.80654,43002.00125,,,
3.87E-06,3.59E-06,4.51E-06,3.76E-06,3.77E-06,3.88E-06,,,
optimal,optimal,optimal,optimal,optimal,optimal,,,
