1,2,3,4,5,6,7,8,9,10
7.917732003,11.99783054,8.837168811,11.574568,10.34386597,8.820982199,10.41147981,11.55831219,9.993369994,9.682350737
135.7271569,139.3487172,134.0609581,130.8435546,140.2820293,139.5462488,135.5832738,137.1776864,130.1949528,126.140808
8.59E-07,1.06E-06,9.43E-07,7.95E-07,5.81E-07,9.87E-07,8.25E-07,9.93E-07,8.97E-07,7.12E-07
4432.501376,4651.747058,4841.939154,5068.810306,5020.000289,5184.81267,4982.000085,4889.047263,5034.571665,5456.486342
0,0,-1.50E-12,5.08E-09,3.52E-08,3.71E-09,6.21E-11,0,0,2.71E-09
optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
